☁  k8s-hyperledger-fabric-2.2 [master] ⚡  docker-compose -f network/docker/docker-compose-ca.yaml up  
Creating network "docker_fabric-ca" with the default driver
Creating org2-ca     ... done
Creating orderers-ca ... done
Creating org1-ca         ... done
Creating org2-client     ... done
Creating orderers-client ... done
Creating org1-client     ... done
Attaching to org2-ca, orderers-ca, org1-ca, org2-client, orderers-client, org1-client
org1-ca            | 2020/12/10 05:22:05 [INFO] Created default configuration file at /etc/hyperledger/fabric-ca-server/fabric-ca-server-config.yaml
org1-ca            | 2020/12/10 05:22:05 [INFO] Starting server in home directory: /etc/hyperledger/fabric-ca-server
org1-ca            | 2020/12/10 05:22:05 [INFO] Server Version: 1.4.9
org1-ca            | 2020/12/10 05:22:05 [INFO] Server Levels: &{Identity:2 Affiliation:1 Certificate:1 Credential:1 RAInfo:1 Nonce:1}
org1-ca            | 2020/12/10 05:22:05 [WARNING] &{69 The specified CA certificate file /etc/hyperledger/fabric-ca-server/ca-cert.pem does not exist}
org1-ca            | 2020/12/10 05:22:05 [INFO] generating key: &{A:ecdsa S:256}
org1-ca            | 2020/12/10 05:22:05 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:02 [INFO] Created default configuration file at /etc/hyperledger/fabric-ca-server/fabric-ca-server-config.yaml
org2-ca            | 2020/12/10 05:22:03 [INFO] Starting server in home directory: /etc/hyperledger/fabric-ca-server
org2-ca            | 2020/12/10 05:22:03 [INFO] Server Version: 1.4.9
org2-ca            | 2020/12/10 05:22:03 [INFO] Server Levels: &{Identity:2 Affiliation:1 Certificate:1 Credential:1 RAInfo:1 Nonce:1}
org2-ca            | 2020/12/10 05:22:03 [WARNING] &{69 The specified CA certificate file /etc/hyperledger/fabric-ca-server/ca-cert.pem does not exist}
org2-ca            | 2020/12/10 05:22:03 [INFO] generating key: &{A:ecdsa S:256}
orderers-ca        | 2020/12/10 05:22:04 [INFO] Created default configuration file at /etc/hyperledger/fabric-ca-server/fabric-ca-server-config.yaml
org1-ca            | 2020/12/10 05:22:05 [INFO] signed certificate with serial number 246304232771857329558989077408637899323072885306
orderers-ca        | 2020/12/10 05:22:04 [INFO] Starting server in home directory: /etc/hyperledger/fabric-ca-server
orderers-ca        | 2020/12/10 05:22:04 [INFO] Server Version: 1.4.9
orderers-ca        | 2020/12/10 05:22:04 [INFO] Server Levels: &{Identity:2 Affiliation:1 Certificate:1 Credential:1 RAInfo:1 Nonce:1}
orderers-ca        | 2020/12/10 05:22:04 [WARNING] &{69 The specified CA certificate file /etc/hyperledger/fabric-ca-server/ca-cert.pem does not exist}
orderers-ca        | 2020/12/10 05:22:04 [INFO] generating key: &{A:ecdsa S:256}
orderers-ca        | 2020/12/10 05:22:04 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:04 [INFO] signed certificate with serial number 166136941998383097357967404534053170552683101769
orderers-ca        | 2020/12/10 05:22:04 [INFO] The CA key and certificate were generated for CA 
orderers-ca        | 2020/12/10 05:22:04 [INFO] The key was stored by BCCSP provider 'SW'
orderers-ca        | 2020/12/10 05:22:04 [INFO] The certificate is at: /etc/hyperledger/fabric-ca-server/ca-cert.pem
org1-ca            | 2020/12/10 05:22:05 [INFO] The CA key and certificate were generated for CA 
org1-ca            | 2020/12/10 05:22:05 [INFO] The key was stored by BCCSP provider 'SW'
org1-ca            | 2020/12/10 05:22:05 [INFO] The certificate is at: /etc/hyperledger/fabric-ca-server/ca-cert.pem
org1-ca            | 2020/12/10 05:22:05 [INFO] Initialized sqlite3 database at /etc/hyperledger/fabric-ca-server/fabric-ca-server.db
org2-ca            | 2020/12/10 05:22:03 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:05 [INFO] The issuer key was successfully stored. The public key is at: /etc/hyperledger/fabric-ca-server/IssuerPublicKey, secret key is at: /etc/hyperledger/fabric-ca-server/msp/keystore/IssuerSecretKey
orderers-ca        | 2020/12/10 05:22:04 [INFO] Initialized sqlite3 database at /etc/hyperledger/fabric-ca-server/fabric-ca-server.db
org1-ca            | 2020/12/10 05:22:05 [INFO] Idemix issuer revocation public and secret keys were generated for CA ''
org1-ca            | 2020/12/10 05:22:05 [INFO] The revocation key was successfully stored. The public key is at: /etc/hyperledger/fabric-ca-server/IssuerRevocationPublicKey, private key is at: /etc/hyperledger/fabric-ca-server/msp/keystore/IssuerRevocationPrivateKey
orderers-ca        | 2020/12/10 05:22:04 [INFO] The issuer key was successfully stored. The public key is at: /etc/hyperledger/fabric-ca-server/IssuerPublicKey, secret key is at: /etc/hyperledger/fabric-ca-server/msp/keystore/IssuerSecretKey
org2-ca            | 2020/12/10 05:22:03 [INFO] signed certificate with serial number 44170566368535132837358557721035921141738458218
orderers-ca        | 2020/12/10 05:22:04 [INFO] Idemix issuer revocation public and secret keys were generated for CA ''
org1-ca            | 2020/12/10 05:22:05 [INFO] Home directory for default CA: /etc/hyperledger/fabric-ca-server
orderers-ca        | 2020/12/10 05:22:04 [INFO] The revocation key was successfully stored. The public key is at: /etc/hyperledger/fabric-ca-server/IssuerRevocationPublicKey, private key is at: /etc/hyperledger/fabric-ca-server/msp/keystore/IssuerRevocationPrivateKey
org1-ca            | 2020/12/10 05:22:05 [INFO] Operation Server Listening on 127.0.0.1:9443
org2-ca            | 2020/12/10 05:22:03 [INFO] The CA key and certificate were generated for CA 
org2-ca            | 2020/12/10 05:22:03 [INFO] The key was stored by BCCSP provider 'SW'
org2-ca            | 2020/12/10 05:22:03 [INFO] The certificate is at: /etc/hyperledger/fabric-ca-server/ca-cert.pem
orderers-ca        | 2020/12/10 05:22:04 [INFO] Home directory for default CA: /etc/hyperledger/fabric-ca-server
orderers-ca        | 2020/12/10 05:22:04 [INFO] Operation Server Listening on 127.0.0.1:9443
org1-ca            | 2020/12/10 05:22:05 [INFO] generating key: &{A:ecdsa S:256}
org1-ca            | 2020/12/10 05:22:05 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:05 [INFO] signed certificate with serial number 642609256949698032423635440538581533726778434202
org1-ca            | 2020/12/10 05:22:05 [INFO] Listening on https://0.0.0.0:7054
orderers-ca        | 2020/12/10 05:22:04 [INFO] generating key: &{A:ecdsa S:256}
org2-ca            | 2020/12/10 05:22:03 [INFO] Initialized sqlite3 database at /etc/hyperledger/fabric-ca-server/fabric-ca-server.db
orderers-ca        | 2020/12/10 05:22:04 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:03 [INFO] The issuer key was successfully stored. The public key is at: /etc/hyperledger/fabric-ca-server/IssuerPublicKey, secret key is at: /etc/hyperledger/fabric-ca-server/msp/keystore/IssuerSecretKey
orderers-ca        | 2020/12/10 05:22:04 [INFO] signed certificate with serial number 253802255787239150763080586120793684220462608450
orderers-ca        | 2020/12/10 05:22:04 [INFO] Listening on https://0.0.0.0:7054
org2-ca            | 2020/12/10 05:22:03 [INFO] Idemix issuer revocation public and secret keys were generated for CA ''
org2-ca            | 2020/12/10 05:22:03 [INFO] The revocation key was successfully stored. The public key is at: /etc/hyperledger/fabric-ca-server/IssuerRevocationPublicKey, private key is at: /etc/hyperledger/fabric-ca-server/msp/keystore/IssuerRevocationPrivateKey
org2-ca            | 2020/12/10 05:22:03 [INFO] Home directory for default CA: /etc/hyperledger/fabric-ca-server
org2-ca            | 2020/12/10 05:22:03 [INFO] Operation Server Listening on 127.0.0.1:9443
org2-ca            | 2020/12/10 05:22:03 [INFO] generating key: &{A:ecdsa S:256}
org2-ca            | 2020/12/10 05:22:03 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:03 [INFO] signed certificate with serial number 411815683559834385016916005700679845637262718991
org2-ca            | 2020/12/10 05:22:03 [INFO] Listening on https://0.0.0.0:7054
org2-client        | 2020/12/10 05:22:11 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca-client/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:11 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:11 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:11 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:11 [INFO] signed certificate with serial number 466186079202848254538226742180555577937755079159
org2-ca            | 2020/12/10 05:22:11 [INFO] 172.23.0.5:52260 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:11 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca-client/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:11 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca-client/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:11 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca-client/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:11 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca-client/msp/IssuerRevocationPublicKey
orderers-client    | 2020/12/10 05:22:12 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca-client/fabric-ca-client-config.yaml
orderers-client    | 2020/12/10 05:22:12 [INFO] TLS Enabled
orderers-client    | 2020/12/10 05:22:12 [INFO] generating key: &{A:ecdsa S:256}
orderers-client    | 2020/12/10 05:22:12 [INFO] encoded CSR
orderers-ca        | 2020/12/10 05:22:12 [INFO] signed certificate with serial number 144630318259544184108208033375762964021418321705
orderers-ca        | 2020/12/10 05:22:12 [INFO] 172.23.0.6:60652 POST /enroll 201 0 "OK"
orderers-client    | 2020/12/10 05:22:12 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca-client/msp/signcerts/cert.pem
orderers-client    | 2020/12/10 05:22:12 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca-client/msp/cacerts/orderers-ca-7054.pem
orderers-client    | 2020/12/10 05:22:12 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca-client/msp/IssuerPublicKey
orderers-client    | 2020/12/10 05:22:12 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca-client/msp/IssuerRevocationPublicKey
org1-client        | 2020/12/10 05:22:13 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca-client/fabric-ca-client-config.yaml
org1-client        | 2020/12/10 05:22:13 [INFO] TLS Enabled
org1-client        | 2020/12/10 05:22:13 [INFO] generating key: &{A:ecdsa S:256}
org1-client        | 2020/12/10 05:22:13 [INFO] encoded CSR
org1-ca            | 2020/12/10 05:22:13 [INFO] signed certificate with serial number 236488364275266466734295312875398024011750906333
org1-ca            | 2020/12/10 05:22:13 [INFO] 172.23.0.7:45738 POST /enroll 201 0 "OK"
org1-client        | 2020/12/10 05:22:13 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca-client/msp/signcerts/cert.pem
org1-client        | 2020/12/10 05:22:13 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca-client/msp/cacerts/org1-ca-7054.pem
org1-client        | 2020/12/10 05:22:13 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca-client/msp/IssuerPublicKey
org1-client        | 2020/12/10 05:22:13 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca-client/msp/IssuerRevocationPublicKey
org2-client        | 2020/12/10 05:22:16 [INFO] Created a default configuration file at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/fabric-ca-client-config.yaml
org2-client        | 2020/12/10 05:22:16 [INFO] TLS Enabled
org2-client        | 2020/12/10 05:22:16 [INFO] generating key: &{A:ecdsa S:256}
org2-client        | 2020/12/10 05:22:16 [INFO] encoded CSR
org2-ca            | 2020/12/10 05:22:16 [INFO] signed certificate with serial number 534343640856055114973550000614919773675045233332
org2-ca            | 2020/12/10 05:22:16 [INFO] 172.23.0.5:52266 POST /enroll 201 0 "OK"
org2-client        | 2020/12/10 05:22:16 [INFO] Stored client certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/msp/signcerts/cert.pem
org2-client        | 2020/12/10 05:22:16 [INFO] Stored root CA certificate at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/msp/cacerts/org2-ca-7054.pem
org2-client        | 2020/12/10 05:22:16 [INFO] Stored Issuer public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/msp/IssuerPublicKey
org2-client        | 2020/12/10 05:22:16 [INFO] Stored Issuer revocation public key at /etc/hyperledger/fabric-ca/crypto-config/peerOrganizations/org2/users/rootAdmin/msp/IssuerRevocationPublicKey
